full_name,resale_price,registered_year,engine_capacity,insurance,transmission_type,kms_driven,owner_type,fuel_type,max_power,seats,mileage,body_type,city
2017 Maruti Baleno 1.2 Alpha,вВє 5.45 Lakh_,2017,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,83.1bhp,5.0,21.4 kmpl,Hatchback,Agra
2018 Tata Hexa XTA,вВє 10 Lakh_,2018,2179 cc,Third Party insurance,Automatic,"70,000 Kms",First Owner,Diesel,153.86bhp,7.0,17.6 kmpl,MUV,Agra
2015 Maruti Swift Dzire VXI,вВє 4.50 Lakh_,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5.0,20.85 kmpl,Sedan,Agra
2015 Maruti Swift Dzire VXI,вВє 4.50 Lakh_,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,83.14bhp,5.0,20.85 kmpl,Sedan,Agra
2009 Hyundai i10 Magna 1.1,вВє 1.60 Lakh_,2009,1086 cc,Third Party insurance,Manual,"80,000 Kms",First Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Agra
2015 Hyundai i20 Active 1.2,вВє 4.70 Lakh_,2015,1197 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,81.86bhp,5.0,17.19 kmpl,Hatchback,Agra
2017 Tata Tiago 1.05 Revotorq XZ,вВє 3.60 Lakh_,2017,1047 cc,Third Party insurance,Manual,"1,20,000 Kms",First Owner,Diesel,69bhp,5.0,27.28 kmpl,Hatchback,Agra
2010 Hyundai i10 Magna 1.1,вВє 2 Lakh_,2010,1086 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,68.05bhp,5.0,19.81 kmpl,Hatchback,Agra
2016 Maruti Eeco 7 Seater Standard BSIV,вВє 3.70 Lakh_,2016,1196 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Petrol,73bhp,7.0,15.37 kmpl,Minivans,Agra
2009 Hyundai Santro Xing GL,вВє 1.20 Lakh_,2009,1086 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,62bhp,5.0,,Hatchback,Agra
2014 Honda Amaze E i-Vtech,вВє 3.30 Lakh_,2014,1198 cc,Third Party insurance,Manual,"70,000 Kms",First Owner,Petrol,86.7bhp,5.0,18 kmpl,Sedan,Agra
2018 Hyundai Xcent 1.2 VTVT SX,вВє 4.75 Lakh_,2018,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,81.86bhp,5.0,20.14 kmpl,Sedan,Agra
2020 Maruti Ciaz Sigma BSIV,вВє 6.86 Lakh_,2020,1462 cc,Third Party insurance,Manual,"50,000 Kms",Third Owner,Petrol,103.25bhp,5.0,21.56 kmpl,Sedan,Agra
2021 Hyundai Venue SX Opt Executive Diesel,вВє 12.50 Lakh_,2021,1493 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,98.6bhp,5.0,23.7 kmpl,SUV,Agra
2021 Hyundai Venue SX Dual Tone Diesel BSIV,вВє 11 Lakh_,2021,1396 cc,Third Party insurance,Manual,"60,000 Kms",First Owner,Diesel,89bhp,5.0,23.7 kmpl,SUV,Agra
2019 Maruti Alto K10 VXI AGS Optional,вВє 3.95 Lakh_,2019,998 cc,Third Party insurance,Automatic,"20,000 Kms",First Owner,Petrol,67.1bhp,5.0,23.95 kmpl,Hatchback,Agra
2016 Maruti Wagon R LXI CNG,вВє 3.50 Lakh_,2016,998 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,CNG,58.16bhp,5.0,26.6 kmpl,Hatchback,Agra
2011 Toyota Etios VX,вВє 2.89 Lakh_,2011,1496 cc,Third Party insurance,Manual,"50,000 Kms",Second Owner,Petrol,88.7bhp,5.0,17.6 kmpl,Sedan,Agra
2011 Toyota Corolla Altis Diesel D4DGL,вВє 2.82 Lakh_,2011,1364 cc,Third Party insurance,Manual,"1,50,000 Kms",First Owner,Diesel,87.2bhp,5.0,21.43 kmpl,Sedan,Agra
2021 Kia Sonet HTX Plus Turbo iMT BSVI,вВє 10 Lakh_,2021,998 cc,Third Party insurance,Manual,"10,000 Kms",First Owner,Petrol,118.36bhp,5.0,18.2 kmpl,SUV,Agra
2020 Maruti Ciaz Alpha BSVI,вВє 7.85 Lakh_,2020,1462 cc,Third Party insurance,Manual,"30,000 Kms",Second Owner,Petrol,103.25bhp,5.0,20.65 kmpl,Sedan,Agra
2014 Ford Ecosport 1.5 DV5 MT Ambiente,вВє 3 Lakh_,2014,1498 cc,Third Party insurance,Manual,"1,50,000 Kms",Third Owner,Diesel,89.84bhp,5.0,22.7 kmpl,SUV,Agra
2011 Mitsubishi Outlander 2.4,вВє 3.97 Lakh_,2011,2360 cc,Third Party insurance,Automatic,"80,000 Kms",Second Owner,Petrol,170PS,5.0,11.3 kmpl,SUV,Agra
2015 Maruti Swift Dzire VDI,вВє 3.75 Lakh_,2015,1248 cc,Third Party insurance,Manual,"20,000 Kms",First Owner,Diesel,74bhp,5.0,26.59 kmpl,Sedan,Agra
2011 Maruti Alto K10 LXI,вВє 1 Lakh_,2011,998 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Petrol,67.1bhp,5.0,20.92 kmpl,Hatchback,Agra
2011 Mitsubishi Outlander 2.4,вВє 3.97 Lakh_,2011,2360 cc,Third Party insurance,Automatic,"80,000 Kms",Second Owner,Petrol,170PS,5.0,11.3 kmpl,SUV,Agra
2021 Maruti Baleno Zeta,вВє 6.75 Lakh_,2021,1197 cc,Third Party insurance,Manual,"40,000 Kms",First Owner,Petrol,81.80bhp,5.0,21.01 kmpl,Hatchback,Agra
2018 Hyundai Xcent 1.2 VTVT SX,вВє 4.65 Lakh_,2018,1197 cc,Third Party insurance,Manual,"60,000 Kms",Second Owner,Petrol,81.86bhp,5.0,20.14 kmpl,Sedan,Agra
2015 Maruti Swift Dzire VXI,вВє 4.80 Lakh_,2015,1197 cc,Third Party insurance,Manual,"80,000 Kms",Second Owner,Petrol,83.14bhp,5.0,20.85 kmpl,Sedan,Agra
2014 Maruti Alto 800 LXI,вВє 2.25 Lakh_,2014,796 cc,Third Party insurance,Manual,"1,00,000 Kms",First Owner,Petrol,47.3bhp,5.0,22.74 kmpl,Hatchback,Agra
2016 Maruti Wagon R VXI Optional,вВє 3.20 Lakh_,2016,998 cc,Third Party insurance,Manual,"70,000 Kms",Second Owner,Petrol,67.04bhp,5.0,20.51 kmpl,Hatchback,Agra
2015 Hyundai Grand i10 Sportz,вВє 4.15 Lakh_,2015,1197 cc,Third Party insurance,Manual,"30,000 Kms",First Owner,Petrol,82bhp,5.0,18.9 kmpl,Hatchback,Agra
2012 Maruti Swift VDI,вВє 2.40 Lakh_,2012,1248 cc,Third Party insurance,Manual,"1,20,000 Kms",Third Owner,Diesel,74bhp,5.0,22.9 kmpl,Hatchback,Agra
2013 Mahindra XUV500 W6 2WD,вВє 3.50 Lakh_,2013,2179 cc,Third Party insurance,Manual,"1,00,000 Kms",Third Owner,Diesel,140bhp,7.0,15.1 kmpl,SUV,Agra
